"raw","102"
"code","54"
"display","6"
"''","93848"
"animal","76"
"allergen","2091"
"environmenta","3"
"environmental","189"
"food","1499"
"miscellaneous","179"
"plant","11"
"pollen","151"
"causes","3054"
"rash","1594"
"``","1617"
"unspecified","877"
"mild","503"
"moderate","831"
"hives","873"
"itching","833"
"severe","1831"
"anaphylaxis","258"
"unknown","1620"
"info","363"
"not","1066"
"available","425"
"iodine","303"
"lmp","83"
"source","1859"
"fl","278"
"lorazepam","211"
"nka","37"
"morphine","643"
"pcn","106"
"penicillins","424"
"sulfadiazine","59"
"g/hr","4"
"hrs","5538"
"l/hr","3"
"ace","283"
"inhibitors","260"
"angiotensin","103"
"converting","63"
"enzyme","104"
"adhesive","389"
"bandage","44"
"advil","116"
"amiodarone","124"
"amoxicillin","328"
"aspirin","743"
"atorvastatin","199"
"bactrim","180"
"beta","928"
"blockers","64"
"ceclor","43"
"cefadroxil","23"
"clindamycin","305"
"codeine","572"
"coumadin","162"
"crestor","134"
"cymbalta","83"
"demerol","100"
"hcl","5064"
"dilaudid","141"
"erythromycin","203"
"glutens","10"
"heparin","253"
"hydrochlorothiazide","191"
"hydrocodone","265"
"hydromorphone","303"
"ibuprofen","402"
"containing","204"
"compounds","30"
"topical","1071"
"ivp","121"
"dye","630"
"iodinated","113"
"radiocontrast","37"
"dyes","80"
"losartan","174"
"metformin","332"
"naproxen","215"
"no","1144"
"known","163"
"medication","1153"
"allergies","396"
"nsaids","98"
"penicillin","309"
"reglan","71"
"shellfish","222"
"shrimp","124"
"sulfa","354"
"drugs","160"
"sulfamethoxazole","52"
"tetracycline","95"
"vancomycin","501"
"vioxx","26"
"zithromax","197"
"atopobium","4"
"vaginae","4"
"augmentin","191"
"azithromycin","185"
"bee","216"
"stings","83"
"celebrex","100"
"ciprofloxacin","169"
"doxycycline","220"
"flexeril","76"
"lisinopril","289"
"lithium","160"
"milk","407"
"products","311"
"moxifloxacin","42"
"norvasc","81"
"novocain","28"
"ragweed","191"
"simvastatin","164"
"statins","51"
"streptomycin","28"
"tetanus","353"
"toxoids","105"
"valium","65"
"allopurinol","92"
"ampicillin","100"
"ancef","34"
"asa","74"
"salicylates","33"
"avelox","46"
"bacitracin","83"
"barium","67"
"sulfate","1066"
"benadryl","174"
"cats","89"
"compazine","75"
"duricef","28"
"eggs","100"
"flagyl","75"
"gabapentin","260"
"imitrex","69"
"levaquin","93"
"lipitor","134"
"macrodantin","36"
"metoprolol","417"
"microalbumin","520"
"mushrooms","20"
"niacin","149"
"niaspan","49"
"er","2244"
"nitrofurantoin","110"
"nitroglycerin","120"
"norco","49"
"potassium","1429"
"prozac","91"
"septra","75"
"tramadol","271"
"type","1841"
"vicodin","154"
"warfarin","263"
"wellbutrin","154"
"zofran","106"
"zosyn","25"
"times","6992"
"day","15499"
"acetaminophen","564"
"actos","50"
"albuterol","588"
"am","469"
"ambien","90"
"as","3109"
"needed","9997"
"baclofen","96"
"before","324"
"meals","773"
"bid","1568"
"calcium","2640"
"channel","85"
"ceftin","55"
"chlorhexidine","54"
"cipro","132"
"gc/ms","40"
"conf","157"
"continuously","7"
"cortisone","58"
"daily","4879"
"darvocet-n","45"
"diphenhydramine","172"
"enviromental","18"
"every","14922"
