raw,103
code,57
display,7
,69674
as,11135
animal,75
allergen,2130
environmenta,3
environmental,186
food,1516
miscellaneous,180
plant,11
pollen,148
causes,3054
rash,1577
unspecified,1023
mild,524
moderate,894
hives,841
itching,828
severe,1873
anaphylaxis,261
unknown,1630
info,357
not,1549
available,434
iodine,343
lmp,89
source,1935
fl,272
lorazepam,211
nka,38
morphine,650
pcn,112
penicillins,451
sulfadiazine,59
ghr,21
h,1767
hrs,5972
l,682
lhr,6
s,1494
ace,334
inhibitors,264
angiotensin,140
converting,78
enzyme,117
adhesive,386
bandage,44
advil,114
amiodarone,126
amoxicillin,402
aspirin,779
atorvastatin,234
bactrim,178
beta,1323
blockers,166
ceclor,46
cefadroxil,22
clindamycin,307
codeine,780
coumadin,164
crestor,135
cymbalta,83
demerol,100
hcl,5119
dilaudid,151
erythromycin,208
glutens,10
heparin,250
hydrochlorothiazide,472
hydrocodone,540
hydromorphone,309
ibuprofen,438
containing,233
compounds,30
topical,1086
ivp,124
dye,634
iodinated,112
radiocontrast,37
dyes,81
losartan,218
metformin,401
naproxen,215
no,1461
known,164
medication,1227
allergies,397
nsaids,111
penicillin,325
reglan,71
shellfish,225
shrimp,130
sulfa,342
drugs,202
sulfamethoxazole,164
tetracycline,92
vancomycin,500
vioxx,26
zithromax,199
atopobium,4
vaginae,4
augmentin,186
azithromycin,184
bee,210
stings,81
celebrex,99
ciprofloxacin,187
doxycycline,213
flexeril,76
lisinopril,358
lithium,165
milk,418
products,340
moxifloxacin,40
norvasc,82
novocain,28
ragweed,185
simvastatin,174
statins,153
streptomycin,27
tetanus,448
toxoids,140
valium,65
allopurinol,91
ampicillin,107
ancef,33
asa,90
salicylates,34
avelox,46
bacitracin,107
barium,68
sulfate,1098
benadryl,173
cats,87
compazine,73
duricef,25
eggs,97
flagyl,74
gabapentin,259
imitrex,71
levaquin,88
lipitor,137
macrodantin,36
metoprolol,430
microalbumin,516
mushrooms,21
niacin,169
niaspan,49
er,2306
nitrofurantoin,108
nitroglycerin,119
norco,50
g,1253
potassium,1486
prozac,89
septra,75
tramadol,292
type,1960
vicodin,155
warfarin,264
wellbutrin,152
zofran,106
zosyn,25
times,7098
a,17183
day,15568
acetaminophen,1134
actos,50
albuterol,711
am,783
ambien,89
needed,9992
baclofen,95
before,897
meals,769
bid,1656
calcium,2894
channel,85
ceftin,56
chlorhexidine,53
cipro,133
gcms,63
conf,156
continuously,7
cortisone,58
daily,4972
darvocet,88
n,532
diphenhydramine,194
enviromental,18
every,14789
hours,6685
hcg,902
serum,2908
hla,246
b,5891
antigen,1013
influenza,1364
virus,1779
vaccine,1752
keflex,90
large,154
levofloxacin,89
lidocaine,274
lyrica,135
macrobid,47
meloxicam,67
meperidine,65
mold,58
monthly,77
neosporin,87
neurontin,85
nickel,44
nordiazepam,42
oxycodone,816
oxycontin,157
p,1105
ab,6016
igg,6038
plavix,61
pm,695
protonix,60
rocephin,78
small,233
tegretol,104
tetracyclines,54
toradol,65
ut,40
zocor,91
normal,358
wbcs,72
hpf,42
lpf,32
mcl,64
gi,285
upset,191
drowsy,68
hour,1709
creat,706
level,2756
inhibitor,84
bandages,42
tape,457
aleve,79
all,274
nuts,151
seafood,69
amer,85
ind,25
esk,2
al,74
ana,387
pattern,153
titer,1231
antihistamines,53
asian,57
pacif,2
isl,12
atenolol,148
ativan,94
bananas,29
bands,153
bees,37
bf,915
chloride,1233
biaxin,74
birth,554
wt,87
breathing,580
issues,47
burning,53
sensation,35
thru,45
iv,940
